comment_id,video_id,author_channel_id,author_name,author_handle_norm,channel_id,channel_name,texto_original,texto_norm,texto_limpio,n_tokens,like_count,reply_count,n_urls,n_hashtags,n_menciones,n_emojis,source_group,source_query,published_text
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,marcoscarillo-b1r,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,corrupto amigo viejo fiscal verbo carcel,6,0,0,0,0,0,0,topic,@quorumgt,hace 6 meses
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,@RaulPerez-cw2vi,raulperez-cw2vi,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",están jóvenes porque no buscan un trabajo tuvieron suerte que no hay policías que le gusta del otro vando por ir vestido de mujer se los hubieran ensamblado la maquinaria,joven buscar trabajo suerte policia gustar vando vestido mujer ensamblado maquinaria,11,0,0,0,0,0,0,topic,guatemala noticias,hace 2 semanas
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,UCRAquv8el-tQ30bN7MlmySQ,@iamjimalesssa,iamjimalesssa,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales esto no es una maquila,dejar gana demandar ilegalidad reunion virtual maquila,7,4,0,0,0,0,0,topic,@quorumgt,hace 1 año
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,UCkbsS_3D-pvg1iHOld9uvIg,@gonzalo6075,gonzalo6075,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,veremos a este mafioso de mazariegos en la cárcel y un buen tiempo en la sombra,ver mafioso mazariego carcel buen tiempo sombra,7,0,0,0,0,0,0,channel,@quorumgt/videos,hace 1 año
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,luisroldan7374,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,"eso es para que salga de USA por su propio pie 
que se auto deporten",eso es para que salga de usa por su propio pie que se auto deporten,salir usar propio pie auto deportar,6,2,1,0,0,0,0,topic,guatemala noticias,hace 1 día
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,@eugeneramirez4405,eugeneramirez4405,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,Imagine if they had to walk back home.,imagine if they had to walk back home,imaginar they had walk back home,6,0,0,0,0,0,0,topic,guatemala noticias,hace 20 horas
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,UCXl30Y_upRqbti52fmjK4YA,@capitanfrans,capitanfrans,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,bueno investigacion hand purple blue peace hand purple blue peace hand purple blue peace,14,0,0,0,0,0,0,channel,@quorumgt/videos,hace 2 años
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,UCRelkU8JiZBytTzebJxaa-w,@danyraymundo2942,danyraymundo2942,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",lleven su lonchera sacrifiquense un poco y reintevren ese dinero o están robando,llevar lonchera sacrificar reintevren dinero robar,6,3,0,0,0,0,0,channel,@quorumgt/videos,hace 2 años
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,UCgLurCo-e019HGODcjXHWCw,@perritojuega1,perritojuega1,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,viva guatemala,vivar guatemala,2,2,0,0,0,0,1,topic,Municipalidad de Guatemala,hace 5 años
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,lizardomorataya8274,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,LADRONES !!!!,ladrones,ladron,1,0,0,0,0,0,0,channel,@quorumgt/videos,hace 2 años
