source_group,source_query,n_videos,vistas_medianas
topic,@GobiernodelaRepublicadeGuatema,18,57.0
topic,@GobiernodeGuatemala,17,959.0
official_gov,Ministerio de Comunicaciones Guatemala,16,121.5
topic,guatemala noticias,16,17967.0
topic,@MunicipalidaddeGuatemala-1551,16,191.0
official_gov,PMT Guatemala,15,2383.0
official_gov,Conred Guatemala,15,200.0
topic,Gobierno de la República de Guatemala,15,1383.0
official_gov,Policia Nacional Civil Guatemala,13,15455.0
topic,guatemala transporte,13,134775.0
official_gov,Provial Guatemala,13,341.0
topic,guatemala trafico,13,2326.0
topic,@quorumgt,12,451.5
official_gov,Gobierno de Guatemala,12,1065.5
official_gov,Ministerio de Gobernacion Guatemala,12,22.5
topic,guatemala politica,12,29685.0
topic,guatemala lluvias,12,2325.5
topic,guatemala seguridad,12,5893.0
channel,@quorumgt/videos,11,673.0
topic,Municipalidad de Guatemala,11,642.0
official_gov,Municipalidad de Guatemala,9,1965.0
topic,Gobierno de Guatemala,6,406.5
topic,Quorum GT,4,339.5
