author_channel_id,n_comentarios,n_videos,me_gusta,respuestas,autor,tokens
UCvcu1kR8xMYy_I1Ty-2mV2Q,4,3,0,0,@hashojea7348,12
UCpsKOkt5iWTbenzeuq7dsmQ,3,3,4,0,@inge_vergueta,16
UCHTGCgY2l-DQJIvlA_cpa_Q,3,2,14,0,@virgiliogarcia3039,47
UCylqlpsh8ENNM1LqgQ1KbxA,3,2,1,0,@Jel.Awesh.M,11
UCbrtvygfRT6QXqWDNrOf-cA,2,2,0,0,@Alejandro00710,16
UCdFlugHJJa4l3YqWuNRmvXw,2,2,0,1,@MarcosCarillo-b1r,11
UCjZgFEowMBrsjodqfovzdKw,2,2,0,0,@franciscoflores3120,5
UCsUCN0Yq_UyTvKjOJLmNrnQ,2,2,0,0,@moisesvaldez4043,11
UCzZ6dDCEsLMXbc5pCFXIprw,2,2,0,0,@josegil3813,17
UCi2KiZq63sRq8Mfbcp-MelQ,6,1,1,0,@eugeneramirez4405,50
UCyJhqmMbsvjpoarBBStA2kg,6,1,14,0,@Murmullodelbarrio,44
UC5H8ASmMC9WrURmzeB4ySog,5,1,6,0,@ManuelEdran,19
UCV3fr-YOixFKCZBbJP1-X4w,5,1,17,0,@albertoshernandez5251,45
UC9vMq1YF-e7C-VO0SHkbUTA,4,1,0,0,@ErvinLeonardoCarreraLatín,26
UC3XTwHxygNCgjndsg-UiCQA,3,1,2,0,@marioajset4283,28
UC72gBAtyb_VXQlYDcFrh6oQ,3,1,19,0,@osmanmorales3012,10
UCFjudnPLoaSL1BaRuLahyHg,3,1,3,0,@HaroldoCastillo-rh9iw,14
UCNIeXbV_mEwpa412h1aqUWw,3,1,3,1,@juandeleon9060,16
UCg3eIfd7BrsLEqS0BLkftHA,3,1,0,0,@ErmePérez-q4s,21
UCh5ESQvtzyHDhCA7XyekCFA,3,1,4,0,@andyB5280,19
UChs3tU2BcKOT0CezykvAsGw,3,1,4,0,@byronpontaza,27
UC-QOpE7GOxlXcHZ8b7HbQKA,2,1,0,0,@mariaalexander427,17
UC7IMsCxfZyWN7YQo8-JYa6Q,2,1,1,0,@Burgos68,48
UCAxvOOHQk7dYPOajzFEVtbA,2,1,0,0,@ruddydepaz322,19
UCBlm80VQ4YoV3bUJR_XhkaQ,2,1,0,3,@rosadiaz6945,10
UCHhHUjaMAZ8SiXdCUCj9DkQ,2,1,3,0,@fredymendez1786,31
UCL13XhnRzbGokEkCkEOb0-g,2,1,8,0,@raquelprado3643,12
UCLFdHr9BEbXHkoJopbEPLZw,2,1,24,0,@kanterra4584,25
UCLggDc_a5HriXv7I1h02sOA,2,1,7,0,@guillermogonzalez5153,12
UCNBnKqWf4d-rS4HwJRQljmQ,2,1,1,0,@LE_A22,43
UCOLGv5Pf6BF2wFcwUzgcvHg,2,1,4,0,@welfrealdana5559,19
UCQ_-LPP8JAbfkc-b1Q6NvWw,2,1,31,0,@MegaKristenstewart,14
UCQtICyzWmhC5woCtbNgaSmg,2,1,5,0,@nestormendez6216,26
UCVC2QugcI1G4RvlCiUqd1aQ,2,1,0,0,@rwdm76,2
UCWaRixDdpgllTBf4V0jPnKQ,2,1,0,0,@hectormaaz5523,35
UCXXh7yg5KUFIWylTiKVEFKQ,2,1,2,0,@MrDuenderojo,12
UCi1b_TRQfgO1Z9O2gNGGWNA,2,1,0,0,@davidisraelesquitsaquil,68
UCkd9W714-947dEE6ZOEBATA,2,1,3,0,@ARGELIATELON,33
UCoGdCoJg2Lh0OX_jv6cG16g,2,1,2,0,@Israel-u5i7i,3
UCp29O_C7cchZV8IxV7Crdag,2,1,0,0,@robertoescobar5507,6
UCrJn_rbo_ENAdeqneS-RmRw,2,1,1,0,@josecarrera9623,29
UCtCtts20bW6F9CSohau51Iw,2,1,0,0,@carlosgranados9875,23
UCtNyHmRZtvGF2hSvI2dUBWw,2,1,1,0,@aureliomaldonado4793,18
UCut6b9S98nv84cVX89PmKzA,2,1,1,0,@yeniferaguirre4498,52
UCwW2OFy95P7ZBkOPxWkpvYg,2,1,2,0,@TeresaLucero-b5o,5
UCz3gu01bmjNv0DpRq-K3XYg,2,1,2,0,@eusebiovasquez4385,6
UC-HeUTT6_g-VoiWds2a4H-w,1,1,0,0,@JorgeMunoz-gd9et,8
UC-Iul5tDYH_oiAMXQH-KaaQ,1,1,1,0,@AlbertoMancilla-p9h,17
UC-fiZBS5Gp1eCJd9ucgWnCg,1,1,6,0,@Tommii.10,12
UC-hfX8J5JPJ-dfuakzegMLA,1,1,6,0,@normaleticiaorozcojuarez2418,40
UC-jS_kA9w-OmpupXDx156Rg,1,1,2,0,@simoncreyesc7579,6
UC-pNP6RMFuLg_-x7Ah_0kEA,1,1,5,0,@almacatalan2717,8
UC094EFEmMSdwVa8NQjjYBXg,1,1,0,0,@CelestinoQuej-j7k,4
UC0HvfEWozTHbwl_iEmJNvVA,1,1,3,0,@OttoPalencia-b7r,7
UC0RpuMwkDKJYqgKHtsJRuWQ,1,1,113,1,@sabinamarinaguerra3248,5
UC0aEyakBPqcBkVJiErfSupQ,1,1,70,0,@jhonymanuel9891,3
UC14qlobYKqD-DO0j6b75lcA,1,1,0,0,@megavision4488,12
UC1DpqK6vaPEkBOMNvypsKYg,1,1,0,0,@HectorCarranza-u4j4o,16
UC1NiEdJ7gk6FlDexIalWnGg,1,1,0,0,@BorisTebalán,24
UC1WlJfQmaIskYhP4gmWoamw,1,1,2,1,@marthareiss5434,12
UC1Y7x3h0c95Z8kUhi-Tzaeg,1,1,0,0,@rosadiaz9235,12
UC1vr9aaMI2crB0NvwFHUeoQ,1,1,0,0,@JoseSimilox-p6e,11
UC2Y_EHWQKevubk4vOEBBFxw,1,1,1,0,@alfonsomorales2653,12
UC2ngpd8UBQu4gcUYy0goAtg,1,1,0,0,@juliohernandez7438,7
UC2weSE8rpqkGMOp6StYtVfg,1,1,1,0,@katerynsantiago2907,17
UC32oozucwCF3q8d4m8fyOUg,1,1,0,0,@RauldejesusOlivagonzalez,9
UC3E9mAgP7VoAE5mZoAexl5g,1,1,0,0,@EnnioAroche,10
UC3MYTqpQqlWBuCB7Th0e0PA,1,1,4,0,@isaaclopez7220,7
UC3NMzdMYryaw82kPTnsaljg,1,1,0,0,@marisosa7832,4
UC3UVO7pTbeYvZ3ILEyRDskQ,1,1,1,0,@rosaelenaargueta79,4
UC3YpzAr7pcdKC7BVFEpYzog,1,1,4,1,@carmenfigueroa1232,15
UC3iIU62XKUOWuqL8BqBzj9A,1,1,0,0,@antonioduarte2288,7
UC3qn1yJA5PeW9rkGPatQxiw,1,1,7,0,@VICTOREST19,5
UC4Avya4kmR4Q0FrfFdBozSQ,1,1,11,0,@davidlima1348,23
UC4cXueR2bKGFJV0Fk76gwmA,1,1,0,0,@aluxdel4792,12
