video_id,n_comentarios,n_autores,me_gusta,respuestas,titulo,canal,categoria,vistas,comentarios_por_autor,pct_del_total
n8iP75gIpmw,161,128,358,3,Qué rico come tu diputado,Quorum,News & Politics,11775,1.26,39.7
j43HgwYFKfk,50,49,91,0,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,10156,1.02,12.3
6W4u8sGEnGM,45,32,90,11,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,11670,1.41,11.1
lj983NWyAQY,25,25,1697,16,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,304089,1.0,6.2
PjmxCj-a9Hg,25,19,20,4,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,3628,1.32,6.2
OkXlHx0hx-8,25,18,25,13,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,14200,1.39,6.2
yLZS3JiEBg8,16,16,13,0,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,1954,1.0,3.9
06mFNPU0aB8,14,13,12,1,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,6692,1.08,3.4
ndAZjHqzzT8,12,10,3,1,Internet: escoger el menos malo,Quorum,News & Politics,717,1.2,3.0
is3Mk5oC19g,7,7,0,1,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,4616,1.0,1.7
b_Hkrkl3adA,7,7,1,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,5469,1.0,1.7
WIUZtitfLRw,6,6,1,0,Caminar en una ciudad hecha para carros,Quorum,News & Politics,422,1.0,1.5
TT4qJ5FXHYE,4,4,8,0,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,1075,1.0,1.0
JkpVO1hx2f8,3,3,4,0,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,673,1.0,0.7
3Nfp9h5avBI,2,2,0,0,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,573,1.0,0.5
X_FAIef8qlE,1,1,0,0,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,1140,1.0,0.2
UhL9y3KUl8E,1,1,2,0,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,1755,1.0,0.2
s0eco-BofOs,1,1,0,0,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,220,1.0,0.2
zweosulrwA8,1,1,0,0,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,52,1.0,0.2
