indicador,valor
Videos en el catálogo (universo A),293.0
Canales en el catálogo (universo A),97.0
Categorías de YouTube distintas,11.0
Consultas de búsqueda distintas (videos),21.0
Videos con comentarios recolectados (universo B),19.0
Canales con comentarios recolectados (universo B),8.0
Comentarios totales,406.0
Autores únicos de comentarios,332.0
Pares únicos autor–video (futuras aristas),343.0
Comentarios por autor (media),1.22
Comentarios por video con comentarios (media),21.4
Total de 'me gusta' en comentarios,2325.0
Total de respuestas declaradas (reply_count),51.0
