titulo,canal,vistas,n_comentarios,n_autores,tasa_com_por_1000_vistas
Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,52.0,1,1,19.23
Internet: escoger el menos malo,Quorum,717.0,12,10,16.74
Caminar en una ciudad hecha para carros,Quorum,422.0,6,6,14.22
Qué rico come tu diputado,Quorum,11775.0,161,128,13.67
Arroz con pollo a la MONOPOLIO,Quorum,1954.0,16,16,8.19
Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,3628.0,25,19,6.89
La cooptación de Walter Mazariegos en la USAC,Quorum,10156.0,50,49,4.92
¿Quiénes pagan más en Centroamérica?,Quorum,220.0,1,1,4.55
10 Preguntas a un año del Paro Nacional,Quorum,673.0,3,3,4.46
Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,11670.0,45,32,3.86
"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,1075.0,4,4,3.72
"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,573.0,2,2,3.49
Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,6692.0,14,13,2.09
EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,14200.0,25,18,1.76
Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,4616.0,7,7,1.52
Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,5469.0,7,7,1.28
Cruzando la ciudad a puro Transmetro,Quorum,1140.0,1,1,0.88
SHAI WA: la vecina queer de Casa Presidencial,Quorum,1755.0,1,1,0.57
Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,304089.0,25,25,0.08
