source,target,type,weight,source_tipo,target_tipo,source_etiqueta,target_etiqueta,target_canal,me_gusta_total,respuestas_totales,tokens,polaridad_media,componente
UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,Undirected,1,autor,video,@JorgeMunoz-gd9et,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,8,1.0,0
UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,Undirected,1,autor,video,@AlbertoMancilla-p9h,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,1,0,17,1.0,0
UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,Undirected,2,autor,video,@mariaalexander427,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,0,0,17,0.833,2
UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,Undirected,1,autor,video,@Tommii.10,La cooptación de Walter Mazariegos en la USAC,Quorum,6,0,12,-1.0,0
UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,Undirected,1,autor,video,@normaleticiaorozcojuarez2418,Qué rico come tu diputado,Quorum,6,0,40,0.0,0
UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,Undirected,1,autor,video,@simoncreyesc7579,Qué rico come tu diputado,Quorum,2,0,6,-1.0,0
UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,Undirected,1,autor,video,@almacatalan2717,Qué rico come tu diputado,Quorum,5,0,8,0.0,0
UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,Undirected,1,autor,video,@CelestinoQuej-j7k,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,0,0,4,0.0,0
UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,Undirected,1,autor,video,@OttoPalencia-b7r,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,3,0,7,0.0,0
UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,Undirected,1,autor,video,@sabinamarinaguerra3248,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,113,1,5,0.0,1
UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,Undirected,1,autor,video,@jhonymanuel9891,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,70,0,3,0.0,1
UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,Undirected,1,autor,video,@megavision4488,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,12,1.0,0
UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,Undirected,1,autor,video,@HectorCarranza-u4j4o,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,16,-1.0,0
UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,Undirected,1,autor,video,@BorisTebalán,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,24,-0.333,0
UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,Undirected,1,autor,video,@marthareiss5434,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,2,1,12,0.0,2
UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,Undirected,1,autor,video,@rosadiaz9235,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,0,0,12,-1.0,0
UC1vr9aaMI2crB0NvwFHUeoQ,n8iP75gIpmw,Undirected,1,autor,video,@JoseSimilox-p6e,Qué rico come tu diputado,Quorum,0,0,11,0.0,0
UC2Y_EHWQKevubk4vOEBBFxw,n8iP75gIpmw,Undirected,1,autor,video,@alfonsomorales2653,Qué rico come tu diputado,Quorum,1,0,12,0.0,0
UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,Undirected,1,autor,video,@juliohernandez7438,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,0,0,7,-1.0,0
UC2weSE8rpqkGMOp6StYtVfg,n8iP75gIpmw,Undirected,1,autor,video,@katerynsantiago2907,Qué rico come tu diputado,Quorum,1,0,17,-0.333,0
UC32oozucwCF3q8d4m8fyOUg,j43HgwYFKfk,Undirected,1,autor,video,@RauldejesusOlivagonzalez,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,9,0.0,0
UC3E9mAgP7VoAE5mZoAexl5g,n8iP75gIpmw,Undirected,1,autor,video,@EnnioAroche,Qué rico come tu diputado,Quorum,0,0,10,1.0,0
UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,Undirected,1,autor,video,@isaaclopez7220,Qué rico come tu diputado,Quorum,4,0,7,1.0,0
UC3NMzdMYryaw82kPTnsaljg,n8iP75gIpmw,Undirected,1,autor,video,@marisosa7832,Qué rico come tu diputado,Quorum,0,0,4,-1.0,0
UC3UVO7pTbeYvZ3ILEyRDskQ,j43HgwYFKfk,Undirected,1,autor,video,@rosaelenaargueta79,La cooptación de Walter Mazariegos en la USAC,Quorum,1,0,4,0.0,0
UC3XTwHxygNCgjndsg-UiCQA,n8iP75gIpmw,Undirected,3,autor,video,@marioajset4283,Qué rico come tu diputado,Quorum,2,0,28,-0.333,0
UC3YpzAr7pcdKC7BVFEpYzog,6W4u8sGEnGM,Undirected,1,autor,video,@carmenfigueroa1232,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,4,1,15,-1.0,0
UC3iIU62XKUOWuqL8BqBzj9A,b_Hkrkl3adA,Undirected,1,autor,video,@antonioduarte2288,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,0,0,7,0.0,0
UC3qn1yJA5PeW9rkGPatQxiw,n8iP75gIpmw,Undirected,1,autor,video,@VICTOREST19,Qué rico come tu diputado,Quorum,7,0,5,0.0,0
UC4Avya4kmR4Q0FrfFdBozSQ,j43HgwYFKfk,Undirected,1,autor,video,@davidlima1348,La cooptación de Walter Mazariegos en la USAC,Quorum,11,0,23,1.0,0
UC4cXueR2bKGFJV0Fk76gwmA,n8iP75gIpmw,Undirected,1,autor,video,@aluxdel4792,Qué rico come tu diputado,Quorum,0,0,12,-1.0,0
UC4kg7zuTfqQKLd2bkZrSYBA,is3Mk5oC19g,Undirected,1,autor,video,@zoilagarcia9019,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,0,0,5,-1.0,0
UC4wq3DcbfaG6dtCqn8Oyu3w,n8iP75gIpmw,Undirected,1,autor,video,@hugoasencio7764,Qué rico come tu diputado,Quorum,1,0,3,0.0,0
UC5H8ASmMC9WrURmzeB4ySog,n8iP75gIpmw,Undirected,5,autor,video,@ManuelEdran,Qué rico come tu diputado,Quorum,6,0,19,0.0,0
