id,tipo,etiqueta,handle,grado,grado_ponderado,n_comentarios,n_autores,n_videos,n_canales,me_gusta_total,respuestas_recibidas,tokens_totales,polaridad_media,channel_id,channel_name,category,view_count,publish_date,source_group,source_query,es_puente_potencial,componente
UCpsKOkt5iWTbenzeuq7dsmQ,autor,@inge_vergueta,inge_vergueta,3,3,3,,3.0,1.0,4,0,16,0.333,,,,,,,,True,0
UCvcu1kR8xMYy_I1Ty-2mV2Q,autor,@hashojea7348,hashojea7348,3,4,4,,3.0,1.0,0,0,12,0.5,,,,,,,,True,0
UCHTGCgY2l-DQJIvlA_cpa_Q,autor,@virgiliogarcia3039,virgiliogarcia3039,2,3,3,,2.0,2.0,14,0,47,-0.778,,,,,,,,True,0
UCbrtvygfRT6QXqWDNrOf-cA,autor,@Alejandro00710,alejandro00710,2,2,2,,2.0,1.0,0,0,16,0.0,,,,,,,,True,0
UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,marcoscarillo-b1r,2,2,2,,2.0,2.0,0,1,11,-1.0,,,,,,,,True,0
UCjZgFEowMBrsjodqfovzdKw,autor,@franciscoflores3120,franciscoflores3120,2,2,2,,2.0,2.0,0,0,5,0.5,,,,,,,,True,0
UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,@moisesvaldez4043,moisesvaldez4043,2,2,2,,2.0,2.0,0,0,11,0.5,,,,,,,,True,0
UCylqlpsh8ENNM1LqgQ1KbxA,autor,@Jel.Awesh.M,jel.awesh.m,2,3,3,,2.0,1.0,1,0,11,-0.333,,,,,,,,True,0
UCzZ6dDCEsLMXbc5pCFXIprw,autor,@josegil3813,josegil3813,2,2,2,,2.0,1.0,0,0,17,0.5,,,,,,,,True,0
UC-HeUTT6_g-VoiWds2a4H-w,autor,@JorgeMunoz-gd9et,jorgemunoz-gd9et,1,1,1,,1.0,1.0,0,0,8,1.0,,,,,,,,False,0
UC-Iul5tDYH_oiAMXQH-KaaQ,autor,@AlbertoMancilla-p9h,albertomancilla-p9h,1,1,1,,1.0,1.0,1,0,17,1.0,,,,,,,,False,0
UC-QOpE7GOxlXcHZ8b7HbQKA,autor,@mariaalexander427,mariaalexander427,1,2,2,,1.0,1.0,0,0,17,0.833,,,,,,,,False,2
UC-fiZBS5Gp1eCJd9ucgWnCg,autor,@Tommii.10,tommii.10,1,1,1,,1.0,1.0,6,0,12,-1.0,,,,,,,,False,0
UC-hfX8J5JPJ-dfuakzegMLA,autor,@normaleticiaorozcojuarez2418,normaleticiaorozcojuarez2418,1,1,1,,1.0,1.0,6,0,40,0.0,,,,,,,,False,0
UC-jS_kA9w-OmpupXDx156Rg,autor,@simoncreyesc7579,simoncreyesc7579,1,1,1,,1.0,1.0,2,0,6,-1.0,,,,,,,,False,0
UC-pNP6RMFuLg_-x7Ah_0kEA,autor,@almacatalan2717,almacatalan2717,1,1,1,,1.0,1.0,5,0,8,0.0,,,,,,,,False,0
UC094EFEmMSdwVa8NQjjYBXg,autor,@CelestinoQuej-j7k,celestinoquej-j7k,1,1,1,,1.0,1.0,0,0,4,0.0,,,,,,,,False,0
UC0HvfEWozTHbwl_iEmJNvVA,autor,@OttoPalencia-b7r,ottopalencia-b7r,1,1,1,,1.0,1.0,3,0,7,0.0,,,,,,,,False,0
UC0RpuMwkDKJYqgKHtsJRuWQ,autor,@sabinamarinaguerra3248,sabinamarinaguerra3248,1,1,1,,1.0,1.0,113,1,5,0.0,,,,,,,,False,1
UC0aEyakBPqcBkVJiErfSupQ,autor,@jhonymanuel9891,jhonymanuel9891,1,1,1,,1.0,1.0,70,0,3,0.0,,,,,,,,False,1
UC14qlobYKqD-DO0j6b75lcA,autor,@megavision4488,megavision4488,1,1,1,,1.0,1.0,0,0,12,1.0,,,,,,,,False,0
UC1DpqK6vaPEkBOMNvypsKYg,autor,@HectorCarranza-u4j4o,hectorcarranza-u4j4o,1,1,1,,1.0,1.0,0,0,16,-1.0,,,,,,,,False,0
UC1NiEdJ7gk6FlDexIalWnGg,autor,@BorisTebalán,boristebal%c3%a1n,1,1,1,,1.0,1.0,0,0,24,-0.333,,,,,,,,False,0
UC1WlJfQmaIskYhP4gmWoamw,autor,@marthareiss5434,marthareiss5434,1,1,1,,1.0,1.0,2,1,12,0.0,,,,,,,,False,2
UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,@rosadiaz9235,rosadiaz9235,1,1,1,,1.0,1.0,0,0,12,-1.0,,,,,,,,False,0
UC1vr9aaMI2crB0NvwFHUeoQ,autor,@JoseSimilox-p6e,josesimilox-p6e,1,1,1,,1.0,1.0,0,0,11,0.0,,,,,,,,False,0
UC2Y_EHWQKevubk4vOEBBFxw,autor,@alfonsomorales2653,alfonsomorales2653,1,1,1,,1.0,1.0,1,0,12,0.0,,,,,,,,False,0
UC2ngpd8UBQu4gcUYy0goAtg,autor,@juliohernandez7438,juliohernandez7438,1,1,1,,1.0,1.0,0,0,7,-1.0,,,,,,,,False,0
UC2weSE8rpqkGMOp6StYtVfg,autor,@katerynsantiago2907,katerynsantiago2907,1,1,1,,1.0,1.0,1,0,17,-0.333,,,,,,,,False,0
UC32oozucwCF3q8d4m8fyOUg,autor,@RauldejesusOlivagonzalez,rauldejesusolivagonzalez,1,1,1,,1.0,1.0,0,0,9,0.0,,,,,,,,False,0
UC3E9mAgP7VoAE5mZoAexl5g,autor,@EnnioAroche,ennioaroche,1,1,1,,1.0,1.0,0,0,10,1.0,,,,,,,,False,0
UC3MYTqpQqlWBuCB7Th0e0PA,autor,@isaaclopez7220,isaaclopez7220,1,1,1,,1.0,1.0,4,0,7,1.0,,,,,,,,False,0
UC3NMzdMYryaw82kPTnsaljg,autor,@marisosa7832,marisosa7832,1,1,1,,1.0,1.0,0,0,4,-1.0,,,,,,,,False,0
UC3UVO7pTbeYvZ3ILEyRDskQ,autor,@rosaelenaargueta79,rosaelenaargueta79,1,1,1,,1.0,1.0,1,0,4,0.0,,,,,,,,False,0
UC3XTwHxygNCgjndsg-UiCQA,autor,@marioajset4283,marioajset4283,1,3,3,,1.0,1.0,2,0,28,-0.333,,,,,,,,False,0
UC3YpzAr7pcdKC7BVFEpYzog,autor,@carmenfigueroa1232,carmenfigueroa1232,1,1,1,,1.0,1.0,4,1,15,-1.0,,,,,,,,False,0
UC3iIU62XKUOWuqL8BqBzj9A,autor,@antonioduarte2288,antonioduarte2288,1,1,1,,1.0,1.0,0,0,7,0.0,,,,,,,,False,0
UC3qn1yJA5PeW9rkGPatQxiw,autor,@VICTOREST19,victorest19,1,1,1,,1.0,1.0,7,0,5,0.0,,,,,,,,False,0
UC4Avya4kmR4Q0FrfFdBozSQ,autor,@davidlima1348,davidlima1348,1,1,1,,1.0,1.0,11,0,23,1.0,,,,,,,,False,0
UC4cXueR2bKGFJV0Fk76gwmA,autor,@aluxdel4792,aluxdel4792,1,1,1,,1.0,1.0,0,0,12,-1.0,,,,,,,,False,0
UC4kg7zuTfqQKLd2bkZrSYBA,autor,@zoilagarcia9019,zoilagarcia9019,1,1,1,,1.0,1.0,0,0,5,-1.0,,,,,,,,False,0
UC4wq3DcbfaG6dtCqn8Oyu3w,autor,@hugoasencio7764,hugoasencio7764,1,1,1,,1.0,1.0,1,0,3,0.0,,,,,,,,False,0
UC5H8ASmMC9WrURmzeB4ySog,autor,@ManuelEdran,manueledran,1,5,5,,1.0,1.0,6,0,19,0.0,,,,,,,,False,0
UC5PrBbmUlQolwqmiru7yZhw,autor,@lazarochavez8269,lazarochavez8269,1,1,1,,1.0,1.0,0,1,25,1.0,,,,,,,,False,0
UC5PyGvSfFM--OVKmQ3COu6g,autor,@FreddyGmez,freddygmez,1,1,1,,1.0,1.0,3,0,4,1.0,,,,,,,,False,1
UC5bG9nc_JV3FsNP2KseQiYw,autor,@giovannirodas4836,giovannirodas4836,1,1,1,,1.0,1.0,2,0,23,-1.0,,,,,,,,False,0
UC5fvhAfm89JH8eDFdvc0xYw,autor,@isaidiaz2388,isaidiaz2388,1,1,1,,1.0,1.0,0,0,2,1.0,,,,,,,,False,1
UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,@leonelsantizo5281,leonelsantizo5281,1,1,1,,1.0,1.0,2,0,9,0.0,,,,,,,,False,0
