componente,n_nodos,n_autores,n_videos,n_aristas,comentarios,videos_incluidos
0,286,276,10,287,343,Capturan a presuntos delincu | Inician los trabajos de recu | Conferencia de Prensa del Go | Caminar en una ciudad hecha  | Bloqueos en Guatemala este 3 | Capturan a ladrón que había  | La cooptación de Walter Maza | Qué rico come tu diputado | Internet: escoger el menos m | Arroz con pollo a la MONOPOL
1,26,25,1,25,25,Plan 2032 Ciudad de Guatemal
2,19,18,1,18,25,EE.UU. envía a mexicanos dep
3,5,4,1,4,4,I’x K’at: el primer equipo g
4,4,3,1,3,3,10 Preguntas a un año del Pa
5,3,2,1,2,2,"Noticiero en Directo 1 pm, 2"
6,2,1,1,1,1,¿Quiénes pagan más en Centro
7,2,1,1,1,1,Cruzando la ciudad a puro Tr
8,2,1,1,1,1,Edén por Salud: empleo inclu
9,2,1,1,1,1,SHAI WA: la vecina queer de 
