Comunidad,Nodos,Autores,Videos,Comentarios,Canales,% de nodos
1,126,125,1,159,Quorum,35.9%
2,48,47,1,49,Quorum,13.7%
3,32,29,3,36,Quorum,9.1%
4,31,30,1,43,Gobierno de la República de Guatemala,8.8%
5,26,25,1,25,Municipalidad de Guatemala,7.4%
6,19,18,1,25,Noticias Telemundo,5.4%
7,19,18,1,25,Gobierno de la República de Guatemala,5.4%
8,14,13,1,15,Noti7,4.0%
9,8,7,1,8,PrensaLibreOficial,2.3%
10,8,7,1,8,TN23 Guatemala,2.3%
11,5,4,1,4,Quorum,1.4%
12,4,3,1,3,Quorum,1.1%
13,3,2,1,2,Noticiero Guatevisión 13 Hrs.,0.9%
14,2,1,1,1,Quorum,0.6%
15,2,1,1,1,Quorum,0.6%
16,2,1,1,1,Quorum,0.6%
17,2,1,1,1,Quorum,0.6%
