Comunidad,Canales,Videos,Autores,Comentarios,Comentarios por autor,Me gusta,Polaridad media,n con polaridad,% negativo,Términos distintivos
1,Quorum,1,125,159,1.27,358,-0.528,68,32.7,"sueldo, comer, almuerzo, salario, comida, morir"
2,Quorum,1,47,49,1.04,89,-0.103,26,28.6,"usac, estudiante, universitario, mazariego, csu, rector"
3,Quorum,3,29,36,1.24,20,0.624,17,8.3,"competencia, libre, cliente, tigo, hand, purple"
4,Gobierno de la República de Guatemala,1,30,43,1.43,90,0.306,24,20.9,"obra, cambio, construccion, bukele, buje, rolar"
5,Municipalidad de Guatemala,1,25,25,1.0,1697,0.833,12,4.0,"ciudad, bello, guatebella, construir, encantar, bonito"
6,Noticias Telemundo,1,18,25,1.39,25,0.458,8,8.0,"you, deportar, entrar, there, and, pertener"
7,Gobierno de la República de Guatemala,1,18,25,1.39,19,0.576,11,8.0,"turismo, colombia, parlacen, excelentisimo, vista, acombatir"
8,Noti7,1,13,15,1.15,12,0.2,5,13.3,"mujer, vestido, faltar, cara, meter, trabajo"
9,PrensaLibreOficial,1,7,8,1.14,1,1.0,3,0.0,"galon, subira, guerra, asqueroso, gasolina, guatemalteco"
10,TN23 Guatemala,1,7,8,1.14,0,-1.0,4,50.0,"comparator, robar"
11,Quorum,1,4,4,1.0,8,1.0,3,0.0,"iniciativa, juego, excelente"
12,Quorum,1,3,3,1.0,4,0.0,2,33.3,guatemala
13,Noticiero Guatevisión 13 Hrs.,1,2,2,1.0,0,,0,0.0,
14,Quorum,1,1,1,1.0,0,,0,0.0,"telefono, existir"
15,Quorum,1,1,1,1.0,0,1.0,1,0.0,
16,Quorum,1,1,1,1.0,2,,0,0.0,
17,Quorum,1,1,1,1.0,0,,0,0.0,
