id,tipo,etiqueta,comunidad,grado,comentarios,grado_norm,intermediacion,cercania,pagerank
UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,10,2,2,0.1053,0.03186,0.1761,0.0027
UCvl1tzQeBeGy6efPTRJXSCw,autor,@RaulPerez-cw2vi,8,1,1,0.0526,0.0,0.1023,0.00149
UCRAquv8el-tQ30bN7MlmySQ,autor,@iamjimalesssa,2,1,1,0.0526,0.0,0.1742,0.0015
UCkbsS_3D-pvg1iHOld9uvIg,autor,@gonzalo6075,2,1,1,0.0526,0.0,0.1742,0.0015
UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,@luisroldan7374,6,1,1,0.0526,0.0,0.0264,0.00128
UCi2KiZq63sRq8Mfbcp-MelQ,autor,@eugeneramirez4405,6,1,6,0.0526,0.0,0.0264,0.00555
UCXl30Y_upRqbti52fmjK4YA,autor,@capitanfrans,3,1,1,0.0526,0.0,0.1236,0.00151
UCRelkU8JiZBytTzebJxaa-w,autor,@danyraymundo2942,1,1,1,0.0526,0.0,0.2219,0.00131
UCgLurCo-e019HGODcjXHWCw,autor,@perritojuega1,5,1,1,0.0526,0.0,0.0364,0.00159
UCDIMztpVm7G27qBuiWuT6oQ,autor,@lizardomorataya8274,1,1,1,0.0526,0.0,0.2219,0.00131
UCZOmq6MwFDVoCaEl99BRRaw,autor,@daniloarevalo3170,3,1,1,0.0526,0.0,0.1679,0.00137
UCFybmWapGvBKcQod7cPPH9w,autor,@vitalianochavez8382,4,1,1,0.0526,0.0,0.1326,0.00123
UCh5ESQvtzyHDhCA7XyekCFA,autor,@andyB5280,1,1,3,0.0526,0.0,0.2219,0.00308
UCWIZUtKJ636y-4TYrNvok0g,autor,@cesarandreas7824,1,1,1,0.0526,0.0,0.2219,0.00131
UCzoL2l5H5eVlorWGH8AZfAg,autor,@jor77cas,1,1,1,0.0526,0.0,0.2219,0.00131
UCKVzDUqbtdSMBcexaEtMmzQ,autor,@rotorairgroup8409,11,1,1,0.0526,0.0,0.0065,0.00187
UCNpt5CQlTzNjlAKY6CJtClQ,autor,@eustaquiogomez9975,2,1,1,0.0526,0.0,0.1742,0.0015
UCut6b9S98nv84cVX89PmKzA,autor,@yeniferaguirre4498,1,1,2,0.0526,0.0,0.2219,0.00219
UCQyOePccUP-fIJYzchAgZYw,autor,@aguilar4254,2,1,1,0.0526,0.0,0.1742,0.0015
UCOLGv5Pf6BF2wFcwUzgcvHg,autor,@welfrealdana5559,1,1,2,0.0526,0.0,0.2219,0.00219
UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,8,1,2,0.0526,0.0,0.1023,0.00255
UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,@MegaKristenstewart,1,1,2,0.0526,0.0,0.2219,0.00219
UCXmrpc6Li0spcKxtS0Q_ptg,autor,@melvinperez6710,5,1,1,0.0526,0.0,0.0364,0.00159
