etiqueta,comunidad,grado,comentarios,intermediacion,cercania,pagerank
@virgiliogarcia3039,1,2,3,0.23158,0.2528,0.00304
@inge_vergueta,3,3,3,0.21808,0.2655,0.00332
@josegil3813,7,2,2,0.17683,0.1827,0.00208
@Jel.Awesh.M,2,2,3,0.08915,0.2479,0.00346
@hashojea7348,3,3,4,0.05971,0.1732,0.00454
@franciscoflores3120,8,2,2,0.0579,0.1346,0.00229
@Alejandro00710,3,2,2,0.0323,0.1717,0.00245
@MarcosCarillo-b1r,10,2,2,0.03186,0.1761,0.0027
@moisesvaldez4043,9,2,2,0.03186,0.2249,0.00248
@eugeneramirez4405,6,1,6,0.0,0.0264,0.00555
@Murmullodelbarrio,4,1,6,0.0,0.1326,0.00525
@ManuelEdran,1,1,5,0.0,0.2219,0.00484
