etiqueta,comunidad,grado,comentarios,grado_norm,intermediacion,cercania,pagerank
Qué rico come tu diputado,1,128,161,0.3855,0.5657,0.3046,0.16729
Conferencia de Prensa del Gobierno de Guatema,7,19,25,0.0572,0.24403,0.2157,0.0249
La cooptación de Walter Mazariegos en la USAC,2,49,50,0.1476,0.22747,0.2214,0.06319
Inician los trabajos de recuperación del Puen,4,32,45,0.0964,0.18762,0.1583,0.04259
Internet: escoger el menos malo,3,10,12,0.0301,0.12829,0.2114,0.01328
Arroz con pollo a la MONOPOLIO,3,16,16,0.0482,0.06367,0.1456,0.02045
Capturan a presuntos delincuentes disfrazados,8,13,14,0.0392,0.05472,0.117,0.01751
Capturan a ladrón que había quedado grabado m,10,7,7,0.0211,0.02765,0.146,0.00986
Bloqueos en Guatemala este 31 de agosto por a,9,7,7,0.0211,0.02765,0.178,0.00961
Caminar en una ciudad hecha para carros,3,6,6,0.0181,0.02309,0.1438,0.00806
Plan 2032 Ciudad de Guatemala,5,25,25,0.0753,0.00491,0.0714,0.03427
EE.UU. envía a mexicanos deportados a Guatema,6,18,25,0.0542,0.00251,0.0514,0.02511
I’x K’at: el primer equipo guatemalteco de pe,11,4,4,0.012,0.0001,0.0114,0.00678
10 Preguntas a un año del Paro Nacional,12,3,3,0.009,5e-05,0.0086,0.00547
"Noticiero en Directo 1 pm, 28 de Agosto de 20",13,2,2,0.006,2e-05,0.0057,0.00416
Edén por Salud: empleo inclusivo para persona,15,1,1,0.003,0.0,0.0029,0.00285
Cruzando la ciudad a puro Transmetro,14,1,1,0.003,0.0,0.0029,0.00285
SHAI WA: la vecina queer de Casa Presidencial,16,1,1,0.003,0.0,0.0029,0.00285
¿Quiénes pagan más en Centroamérica?,17,1,1,0.003,0.0,0.0029,0.00285
