id,tipo,etiqueta,grado,comentarios,intermediacion,componentes_antes,componentes_despues,nuevas_islas,comp_mayor_despues
UCHTGCgY2l-DQJIvlA_cpa_Q,autor,@virgiliogarcia3039,2,3,0.23158,10,11,2,221
UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,2,2,0.03186,10,11,2,278
UCjZgFEowMBrsjodqfovzdKw,autor,@franciscoflores3120,2,2,0.0579,10,11,2,272
UCpsKOkt5iWTbenzeuq7dsmQ,autor,@inge_vergueta,3,3,0.21808,10,11,2,254
UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,@moisesvaldez4043,2,2,0.03186,10,11,2,278
UCvcu1kR8xMYy_I1Ty-2mV2Q,autor,@hashojea7348,3,4,0.05971,10,11,2,279
UCzZ6dDCEsLMXbc5pCFXIprw,autor,@josegil3813,2,2,0.17683,10,11,2,240
n8iP75gIpmw,video,Qué rico come tu diputado,128,161,0.5657,10,136,127,88
j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,49,50,0.22747,10,57,48,231
6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puen,32,45,0.18762,10,41,32,241
lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,25,25,0.00491,10,34,25,286
PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatema,19,25,0.24403,10,28,19,222
OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatema,18,25,0.00251,10,27,18,286
yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,16,16,0.06367,10,24,15,271
06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados,13,14,0.05472,10,22,13,273
ndAZjHqzzT8,video,Internet: escoger el menos malo,10,12,0.12829,10,18,9,255
b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por a,7,7,0.02765,10,16,7,279
is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado m,7,7,0.02765,10,16,7,279
WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,6,6,0.02309,10,15,6,280
TT4qJ5FXHYE,video,I’x K’at: el primer equipo guatemalteco de pe,4,4,0.0001,10,13,4,286
JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,3,3,5e-05,10,12,3,286
3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 20",2,2,2e-05,10,11,2,286
