etiqueta,comunidad,grado,comentarios,intermediacion
@Murmullodelbarrio,4,1,6,0.0
@eugeneramirez4405,6,1,6,0.0
@albertoshernandez5251,4,1,5,0.0
@ManuelEdran,1,1,5,0.0
@hashojea7348,3,3,4,0.05971
@ErvinLeonardoCarreraLatín,1,1,4,0.0
@virgiliogarcia3039,1,2,3,0.23158
@Jel.Awesh.M,2,2,3,0.08915
@inge_vergueta,3,3,3,0.21808
@andyB5280,1,1,3,0.0
@byronpontaza,1,1,3,0.0
@HaroldoCastillo-rh9iw,1,1,3,0.0
@marioajset4283,1,1,3,0.0
@osmanmorales3012,1,1,3,0.0
@juandeleon9060,7,1,3,0.0
@ErmePérez-q4s,7,1,3,0.0
